split,method,seed,rows,task_success,critical_event_recall,wasted_attention,compute_cost,latency_violation,safety_violation,physical_regret,calibration_error
tight_compute_budget,risk_aware_attention,0,168,0.66667,0.53949,0.14772,3.29308,0.35714,0.07738,0.13849,0.13793
tight_compute_budget,risk_aware_attention,1,168,0.71429,0.56083,0.18839,3.29282,0.35714,0.10119,0.13072,0.13536
tight_compute_budget,risk_aware_attention,2,168,0.65476,0.52478,0.17976,3.29854,0.36905,0.13690,0.14525,0.13609
tight_compute_budget,risk_aware_attention,3,168,0.69048,0.55322,0.12401,3.27888,0.33333,0.11905,0.12776,0.13971
tight_compute_budget,risk_aware_attention,4,168,0.66667,0.55775,0.13214,3.28520,0.34524,0.12500,0.13126,0.13841
tight_compute_budget,risk_aware_attention,5,168,0.66071,0.53079,0.14008,3.28424,0.32738,0.12500,0.13336,0.14008
tight_compute_budget,risk_aware_attention,6,168,0.67262,0.55558,0.14186,3.27521,0.31548,0.15476,0.12891,0.13941
tight_compute_budget,token_salience_transformer,0,168,0.10119,0.04406,0.90774,3.29845,0.29762,0.33333,0.68618,0.02802
tight_compute_budget,token_salience_transformer,1,168,0.08929,0.04577,0.92212,3.30489,0.35119,0.35119,0.65507,0.02979
tight_compute_budget,token_salience_transformer,2,168,0.10119,0.04263,0.91766,3.29054,0.33333,0.30952,0.66164,0.03020
tight_compute_budget,token_salience_transformer,3,168,0.08333,0.06086,0.88641,3.30170,0.33929,0.35714,0.64582,0.03396
tight_compute_budget,token_salience_transformer,4,168,0.13690,0.05729,0.88889,3.30966,0.37500,0.30952,0.67084,0.02684
tight_compute_budget,token_salience_transformer,5,168,0.14881,0.05327,0.90228,3.27229,0.28571,0.35119,0.66317,0.03176
tight_compute_budget,token_salience_transformer,6,168,0.10119,0.04683,0.91617,3.31261,0.36905,0.32143,0.68144,0.02761
tight_compute_budget,uncertainty_attention,0,168,0.22619,0.13363,0.74802,3.33304,0.34524,0.28571,0.51697,0.05342
tight_compute_budget,uncertainty_attention,1,168,0.26190,0.15690,0.71478,3.33029,0.41071,0.32143,0.47967,0.05638
tight_compute_budget,uncertainty_attention,2,168,0.21429,0.14194,0.72024,3.28886,0.30357,0.27976,0.48178,0.06125
tight_compute_budget,uncertainty_attention,3,168,0.22024,0.17488,0.68204,3.34022,0.40476,0.31548,0.47536,0.06030
tight_compute_budget,uncertainty_attention,4,168,0.19643,0.14393,0.73165,3.29747,0.32143,0.30952,0.49885,0.05811
tight_compute_budget,uncertainty_attention,5,168,0.23810,0.15324,0.70933,3.32425,0.33929,0.28571,0.48657,0.06081
